11,11967.5193,2.42E-24,5.34E-08,0.0718,0.4212,704.214,0.68,0,29,1,625,716,462
11,11967.712,9.31E-25,1.06E-07,0.0785,0.466,816.694,0.68,0,30,1,634,735,455
11,11968.3128,4.45E-25,8.71E-08,0.0644,0.3841,927.744,0.68,0,30,1,643,744,452
11,11969.6385,1.41E-25,6.63E-09,0.0758,0.3283,885.6,0.68,0,30,1,808,827,462
11,11970.923,8.30E-27,5.67E-09,0.0683,0.3009,1216.232,0.68,0,30,1,918,937,62
11,11971.275,2.60E-26,3.93E-09,0.0758,0.3283,882.891,0.68,0,30,1,818,817,62
11,11972.058,1.40E-26,1.95E-10,0.0844,0.4389,488.108,0.68,0,30,1,422,441,62
11,11972.797,2.11E-25,3.52E-09,0.0823,0.397,315.779,0.68,0,28,1,523,422,365
11,11973.6397,1.90E-24,1.29E-07,0.0789,0.432,709.609,0.68,0,30,1,625,726,465
11,11973.663,3.70E-25,4.99E-08,0.0644,0.3841,1059.835,0.68,0,30,1,651,752,62
11,11973.786,1.76E-25,6.55E-08,0.0644,0.3841,1059.647,0.68,0,30,1,652,753,462
11,11973.96355,3.03E-24,6.68E-08,0.0848,0.461,704.214,0.68,0,30,1,615,716,565
11,11975.254,5.00E-26,6.62E-10,0.0846,0.4807,552.912,0.59,0,29,1,514,625,60
11,11975.888,1.62E-25,6.04E-09,0.0578,0.359,586.479,0.68,0,29,1,606,717,340
11,11976.261,5.30E-27,2.50E-08,0.0758,0.3283,1590.691,0.68,0,30,1,770,871,62
11,11976.262,1.60E-26,2.51E-08,0.0758,0.3283,1590.69,0.68,0,30,1,771,872,62
11,11976.491,8.90E-27,5.52E-10,0.0778,0.4291,610.114,0.68,0,30,1,523,542,62
11,11976.597,5.10E-25,6.33E-09,0.0587,0.3956,586.243,0.54,0,29,1,616,707,440
11,11977.889,1.90E-25,4.23E-09,0.0778,0.4291,416.209,0.68,0,28,1,625,524,362
11,11978.395,3.10E-27,4.68E-10,0.0758,0.3283,882.891,0.68,0,28,1,836,817,62
11,11980.776,2.10E-26,3.39E-09,0.0758,0.3283,1122.709,0.68,0,30,1,826,845,62
11,11980.819,3.20E-26,1.14E-09,0.071,0.4228,756.725,0.68,0,30,1,624,643,62
11,11981.453,1.20E-26,3.03E-10,0.0844,0.4389,383.843,0.68,0,30,1,414,431,62
11,11983.025,9.90E-27,2.11E-09,0.0644,0.3841,927.744,0.68,0,30,1,725,744,62
11,11983.817,4.50E-27,3.32E-10,0.0566,0.3587,709.609,0.68,0,29,1,717,726,62
11,11983.8196,2.42E-24,1.13E-07,0.071,0.436,602.774,0.68,0,30,1,523,624,462
11,11984.372,9.50E-26,2.74E-08,0.0644,0.3841,1216.194,0.68,0,30,1,660,761,62
11,11984.377,3.20E-26,2.77E-08,0.0644,0.3841,1216.189,0.68,0,30,1,661,762,62
11,11984.3844,3.24E-25,5.98E-09,0.0849,0,285.219,0.6,0,28,1,432,331,465
11,11985.0197,4.58E-25,2.82E-09,0.0851,0.427,285.419,0.68,0,28,1,431,330,435
11,11985.208,3.29E-26,6.43E-09,0.0683,0.3009,1201.922,0.68,0,30,1,928,927,352
